Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.1-192.168.10.50-23013-80-6,192.168.10.50,80,172.16.0.1,23013,6,7/7/2017 4:02,8164096,1,6,6,36,6,6,6,0,6,6,6,0,5.144476498,0.85741275,1360682.667,3317151.677,8131762,4,0,0,0,0,0,8138805,1627761,3635847.602,8131762,4,0,0,0,0,20,120,0.122487536,0.734925214,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,32334,0,32334,32334,8131762,0,8131762,8131762,BENIGN
172.16.0.1-192.168.10.50-23010-80-6,192.168.10.50,80,172.16.0.1,23010,6,7/7/2017 4:02,8157984,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,172.223922,0.858055127,1359664,3314213.678,8124751,1,0,0,0,0,0,8149788,1629957.6,3630712.83,8124751,1,1,0,0,0,20,132,0.122579304,0.735475823,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375,5,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,33233,0,33233,33233,8124751,0,8124751,8124751,BENIGN
172.16.0.1-192.168.10.50-23008-80-6,192.168.10.50,80,172.16.0.1,23008,6,7/7/2017 4:02,8159006,1,7,6,42,6,6,6,0,6,6,6,0,5.88306958,0.980511597,1165572.286,3067845.267,8122768,3,0,0,0,0,0,8148777,1358129.5,3313993.353,8122768,3,0,0,0,0,20,140,0.12256395,0.857947647,6,6,6,0,0,0,0,0,0,1,1,0,0,7,6.75,6,6,20,0,0,0,0,0,0,1,6,7,42,229,0,0,20,36238,0,36238,36238,8122768,0,8122768,8122768,BENIGN
172.16.0.1-192.168.10.50-23005-80-6,192.168.10.50,80,172.16.0.1,23005,6,7/7/2017 4:02,8157073,1,6,6,36,6,6,6,0,6,6,6,0,5.148905741,0.858150957,1359512.167,3312345.031,8120789,1,0,0,0,0,0,8149804,1629960.8,3628493.975,8120789,1,0,0,0,0,20,120,0.122592994,0.735557963,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,36284,0,36284,36284,8120789,0,8120789,8120789,BENIGN
172.16.0.1-192.168.10.50-23017-80-6,192.168.10.50,80,172.16.0.1,23017,6,7/7/2017 4:02,8164096,1,6,6,36,6,6,6,0,6,6,6,0,5.144476498,0.85741275,1360682.667,3317156.852,8131767,3,0,0,0,0,0,8136779,1627355.8,3636076.564,8131767,3,0,0,0,0,20,120,0.122487536,0.734925214,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,32329,0,32329,32329,8131767,0,8131767,8131767,BENIGN
172.16.0.1-192.168.10.50-23052-80-6,192.168.10.50,80,172.16.0.1,23052,6,7/7/2017 4:02,8007072,1,5,6,30,6,6,6,0,6,6,6,0,4.496025513,0.749337586,1601414.4,3567259.663,7982713,3,0,0,0,0,0,7991798,1997949.5,3989843.953,7982713,3,0,0,0,0,20,100,0.124889598,0.624447988,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,24359,0,24359,24359,7982713,0,7982713,7982713,BENIGN
172.16.0.1-192.168.10.50-23014-80-6,192.168.10.50,80,172.16.0.1,23014,6,7/7/2017 4:02,8164093,1,5,6,30,6,6,6,0,6,6,6,0,4.409552904,0.734925484,1632818.6,3633037.575,8131760,5,0,0,0,0,0,8135806,2033951.5,4065205.858,8131760,5,0,0,0,0,20,100,0.122487581,0.612437903,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,32333,0,32333,32333,8131760,0,8131760,8131760,BENIGN
172.16.0.1-192.168.10.50-23011-80-6,192.168.10.50,80,172.16.0.1,23011,6,7/7/2017 4:02,8164100,1,6,6,36,6,6,6,0,6,6,6,0,5.144473978,0.85741233,1360683.333,3317161.406,8131788,3,0,0,0,0,0,8140808,1628161.6,3635638.193,8131788,3,0,0,0,0,20,120,0.122487476,0.734924854,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,32312,0,32312,32312,8131788,0,8131788,8131788,BENIGN
172.16.0.1-192.168.10.50-23009-80-6,192.168.10.50,80,172.16.0.1,23009,6,7/7/2017 4:02,8158031,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,172.2229298,0.858050184,1359671.833,3314208.488,8124749,1,0,0,0,0,0,8150785,1630157,3630599.907,8124749,1,1,0,0,0,20,132,0.122578598,0.735471586,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375,5,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,33282,0,33282,33282,8124749,0,8124749,8124749,BENIGN
172.16.0.1-192.168.10.50-23006-80-6,192.168.10.50,80,172.16.0.1,23006,6,7/7/2017 4:02,8158045,1,6,6,36,6,6,6,0,6,6,6,0,5.148292269,0.858048711,1359674.167,3312742.805,8121763,3,0,0,0,0,0,8151777,1630355.4,3628817.802,8121763,3,0,0,0,0,20,120,0.122578387,0.735470324,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,36282,0,36282,36282,8121763,0,8121763,8121763,BENIGN
172.16.0.1-192.168.10.50-23053-80-6,192.168.10.50,80,172.16.0.1,23053,6,7/7/2017 4:02,8007054,1,6,6,36,6,6,6,0,6,6,6,0,5.245374891,0.874229148,1334509,3256972.847,7982769,3,0,0,0,0,0,7993800,1598760,3568770.898,7982769,3,0,0,0,0,20,120,0.124889878,0.74933927,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,24285,0,24285,24285,7982769,0,7982769,7982769,BENIGN
172.16.0.1-192.168.10.50-23050-80-6,192.168.10.50,80,172.16.0.1,23050,6,7/7/2017 4:02,8007047,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,175.4704325,0.874229913,1334507.833,3255017.34,7978774,1,0,0,0,0,0,8001804,1600360.8,3565647.046,7978774,1,1,0,0,0,20,132,0.124889988,0.749339925,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375,5,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,28273,0,28273,28273,7978774,0,7978774,7978774,BENIGN
172.16.0.1-192.168.10.50-23003-80-6,192.168.10.50,80,172.16.0.1,23003,6,7/7/2017 4:02,8162027,1,6,6,36,6,6,6,0,6,6,6,0,5.145780576,0.857630096,1360337.833,3314392.686,8125773,3,0,0,0,0,0,8157809,1631561.8,3630396.713,8125773,3,0,0,0,0,20,120,0.122518585,0.735111511,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,36254,0,36254,36254,8125773,0,8125773,8125773,BENIGN
172.16.0.1-192.168.10.50-23015-80-6,192.168.10.50,80,172.16.0.1,23015,6,7/7/2017 4:02,8160099,1,6,6,36,6,6,6,0,6,6,6,0,5.146996378,0.85783273,1360016.5,3316984.308,8130750,4,0,0,0,0,0,8133771,1626754.2,3635844.279,8130750,4,0,0,0,0,20,120,0.122547533,0.735285197,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,29349,0,29349,29349,8130750,0,8130750,8130750,BENIGN
172.16.0.1-192.168.10.50-23048-80-6,192.168.10.50,80,172.16.0.1,23048,6,7/7/2017 4:02,8003939,1,6,1375,30,1375,1375,1375,0,6,0,5,2.449489743,175.5385692,0.874569384,1333989.833,3255527.678,7979296,1,0,0,0,0,0,8003789,1600757.8,3565716.894,7979296,1,1,0,0,0,20,132,0.124938483,0.7496309,0,1375,347.5,634.1901472,402197.1429,0,1,0,0,1,1,0,0,6,397.1428571,1375,5,20,0,0,0,0,0,0,1,1375,6,30,229,0,0,20,24643,0,24643,24643,7979296,0,7979296,7979296,BENIGN
172.16.0.1-192.168.10.50-23012-80-6,192.168.10.50,80,172.16.0.1,23012,6,7/7/2017 4:02,8164126,1,6,6,36,6,6,6,0,6,6,6,0,5.144457594,0.857409599,1360687.667,3317148.836,8131764,4,0,0,0,0,0,8139804,1627960.8,3635737.001,8131764,4,0,0,0,0,20,120,0.122487086,0.734922513,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,32362,0,32362,32362,8131764,0,8131764,8131764,BENIGN
172.16.0.1-192.168.10.50-61539-80-6,192.168.10.50,80,172.16.0.1,61539,6,7/7/2017 4:02,80356707,8,10,11607,68,4380,0,1450.875,1559.504998,20,0,6.8,5.006662228,145.2896769,0.224001215,4726865.118,16800000,69300000,9,80400000,11500000,30300000,80200000,9,80200000,8914351.667,22900000,69300000,183,0,0,0,0,172,212,0.099556096,0.124445119,0,4380,614.7894737,1217.558239,1482448.064,0,0,0,0,1,1,0,0,1,648.9444444,1450.875,6.8,172,0,0,0,0,0,0,8,11607,10,68,229,256,6,20,8990,0,8990,8990,40100000,41300000,69300000,10900000,BENIGN
172.16.0.1-192.168.10.50-61564-80-6,192.168.10.50,80,172.16.0.1,61564,6,7/7/2017 4:02,81906960,6,9,11613,62,7215,0,1935.5,3122.940009,20,0,6.888888889,5.30199124,142.5397793,0.18313462,5850497.143,18500000,69500000,3,81900000,16400000,35700000,80200000,11,80200000,10000000,24300000,69500000,3,0,0,0,0,132,192,0.073253848,0.109880772,0,7215,730.0625,2044.725914,4180904.062,0,0,0,0,1,1,0,0,1,778.7333333,1935.5,6.888888889,132,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,25634,0,25634,25634,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61563-80-6,192.168.10.50,80,172.16.0.1,61563,6,7/7/2017 4:02,81906950,7,9,11613,62,4380,0,1659,2117.072113,20,0,6.888888889,5.30199124,142.5397967,0.195343619,5460463.333,17900000,69500000,3,81900000,13700000,32600000,80200000,5,80200000,10000000,24300000,69500000,3,0,0,0,0,152,192,0.085462833,0.109880785,0,4380,687.1176471,1543.785926,2383274.985,0,0,0,0,1,1,0,0,1,730.0625,1659,6.888888889,152,0,0,0,0,0,0,7,11613,9,62,229,256,5,20,25737,0,25737,25737,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61562-80-6,192.168.10.50,80,172.16.0.1,61562,6,7/7/2017 4:02,81908654,6,9,12982,56,7215,0,2163.666667,3001.419709,20,0,6.222222222,5.783117191,159.1773197,0.183130833,5850618.143,18500000,69500000,3,81900000,16400000,35700000,80200000,4,80200000,10000000,24300000,69500000,3,1,0,0,0,132,204,0.073252333,0.1098785,0,7215,900.8125,2033.701919,4135943.496,0,1,0,0,1,1,0,0,1,960.8666667,2163.666667,6.222222222,132,0,0,0,0,0,0,6,12982,9,56,229,256,4,20,29519,0,29519,29519,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61565-80-6,192.168.10.50,80,172.16.0.1,61565,6,7/7/2017 4:02,81908881,6,10,11613,68,7215,0,1935.5,3122.940009,20,0,6.8,5.006662228,142.6096884,0.195339013,5460592.067,17900000,69500000,3,81900000,16400000,35700000,80200000,4,80200000,8915321.778,23000000,69500000,3,0,0,0,0,132,212,0.07325213,0.122086883,0,7215,687.4705882,1987.570568,3950436.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,25644,0,25644,25644,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61567-80-6,192.168.10.50,80,172.16.0.1,61567,6,7/7/2017 4:02,81908884,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,142.6096832,0.195339006,5460592.267,17900000,69500000,2,81900000,16400000,35700000,80200000,5,80200000,8915095.333,23000000,69500000,2,0,0,0,0,132,212,0.073252127,0.122086879,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,25649,0,25649,25649,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61566-80-6,192.168.10.50,80,172.16.0.1,61566,6,7/7/2017 4:02,81909124,6,10,11613,68,5840,0,1935.5,2991.613996,20,0,6.8,5.006662228,142.6092654,0.195338434,5460608.267,17900000,69500000,1,81900000,16400000,35700000,80200000,3,80200000,8915216.889,23000000,69500000,1,0,0,0,0,132,212,0.073251913,0.122086521,0,5840,687.4705882,1923.408242,3699499.265,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,25698,0,25698,25698,40100000,41500000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61569-80-6,192.168.10.50,80,172.16.0.1,61569,6,7/7/2017 4:02,82033469,7,9,12982,56,4380,0,1854.571429,1998.852826,20,0,6.222222222,5.783117191,158.9351293,0.195042343,5468897.933,17900000,69500000,3,82000000,13700000,32600000,80300000,3,80300000,10000000,24300000,69500000,3,1,0,0,0,152,204,0.085331025,0.109711318,0,4380,847.8235294,1535.416932,2357505.154,0,1,0,0,1,1,0,0,1,900.8125,1854.571429,6.222222222,152,0,0,0,0,0,0,7,12982,9,56,229,256,5,20,22979,0,22979,22979,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61568-80-6,192.168.10.50,80,172.16.0.1,61568,6,7/7/2017 4:02,82033271,7,9,12982,56,4380,0,1854.571429,1998.852826,20,0,6.222222222,5.783117191,158.9355129,0.195042814,5468884.733,17900000,69500000,2,82000000,13700000,32600000,80300000,2,80300000,10000000,24300000,69500000,2,1,0,0,0,152,204,0.085331231,0.109711583,0,4380,847.8235294,1535.416932,2357505.154,0,1,0,0,1,1,0,0,1,900.8125,1854.571429,6.222222222,152,0,0,0,0,0,0,7,12982,9,56,229,256,5,20,23086,0,23086,23086,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61573-80-6,192.168.10.50,80,172.16.0.1,61573,6,7/7/2017 4:02,82034380,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,142.3915193,0.195040177,5468958.667,17900000,69500000,1,82000000,16400000,35700000,80300000,5,80300000,8919445.444,23000000,69500000,1,0,0,0,0,132,212,0.073140066,0.121900111,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,22696,0,22696,22696,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61572-80-6,192.168.10.50,80,172.16.0.1,61572,6,7/7/2017 4:02,82034210,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,142.3918143,0.195040581,5468947.333,17900000,69500000,1,82000000,16400000,35700000,80300000,5,80300000,8919548.667,23000000,69500000,1,0,0,0,0,132,212,0.073140218,0.121900363,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,22811,0,22811,22811,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61571-80-6,192.168.10.50,80,172.16.0.1,61571,6,7/7/2017 4:02,82034011,6,10,11613,68,10135,0,1935.5,4058.890772,20,0,6.8,5.006662228,142.3921598,0.195041054,5468934.067,17900000,69500000,0,82000000,16400000,35700000,80300000,5,80300000,8919766.556,23000000,69500000,0,0,0,0,0,132,212,0.073140395,0.121900659,0,10135,687.4705882,2459.880437,6051011.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,22639,0,22639,22639,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61570-80-6,192.168.10.50,80,172.16.0.1,61570,6,7/7/2017 4:02,82033852,6,9,12982,56,10220,0,2163.666667,4003.523481,20,0,6.222222222,5.783117191,158.9343872,0.182851343,5859560.857,18500000,69500000,1,82000000,16400000,35700000,80300000,1,80300000,10000000,24300000,69500000,1,1,0,0,0,132,204,0.073140537,0.109710806,0,10220,900.8125,2544.766557,6475836.829,0,1,0,0,1,1,0,0,1,960.8666667,2163.666667,6.222222222,132,0,0,0,0,0,0,6,12982,9,56,229,256,4,20,22975,0,22975,22975,40100000,41600000,69500000,10700000,BENIGN
172.16.0.1-192.168.10.50-61574-80-6,192.168.10.50,80,172.16.0.1,61574,6,7/7/2017 4:02,82038110,6,10,11607,68,7300,0,1934.5,2872.398144,20,0,6.8,5.006662228,142.3119085,0.195031309,5469207.333,18400000,71200000,1,82000000,16400000,36600000,81900000,160,81900000,9102124.333,23500000,71200000,1,0,0,0,0,132,212,0.073136741,0.121894568,0,7300,687.1176471,1865.502609,3480099.985,0,0,0,0,1,1,0,0,1,730.0625,1934.5,6.8,132,0,0,0,0,0,0,6,11607,10,68,229,256,4,20,22640,0,22640,22640,40900000,42700000,71200000,10700000,BENIGN
172.16.0.1-192.168.10.50-61577-80-6,192.168.10.50,80,172.16.0.1,61577,6,7/7/2017 4:02,82034849,5,9,11607,62,7215,0,2321.4,3327.769794,20,0,6.888888889,5.30199124,142.2444259,0.170659179,6310373,19700000,71200000,49,82000000,20500000,40900000,81900000,161,81900000,10200000,24900000,71200000,191,0,0,0,0,112,192,0.060949707,0.109709472,0,7215,778.3333333,2107.034872,4439595.952,0,0,0,0,1,1,0,0,1,833.9285714,2321.4,6.888888889,112,0,0,0,0,0,0,5,11607,9,62,229,256,3,20,19181,0,19181,19181,40900000,42700000,71200000,10700000,BENIGN
172.16.0.1-192.168.10.50-61575-80-6,192.168.10.50,80,172.16.0.1,61575,6,7/7/2017 4:02,82038764,5,9,11607,62,8760,0,2321.4,3802.315321,20,0,6.888888889,5.30199124,142.2376378,0.170651035,6310674.154,19700000,71200000,1,82000000,20500000,40900000,81900000,187,81900000,10200000,24900000,71200000,1,0,0,0,0,112,192,0.060946798,0.109704237,0,8760,778.3333333,2325.15043,5406324.524,0,0,0,0,1,1,0,0,1,833.9285714,2321.4,6.888888889,112,0,0,0,0,0,0,5,11607,9,62,229,256,3,20,22603,0,22603,22603,40900000,42700000,71200000,10700000,BENIGN
