Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
162.213.33.50-192.168.10.51-443-59449-6,192.168.10.51,59449,162.213.33.50,443,6,07-07-17 03:55,2194526,10,11,851,3950,267,0,85.1,99.87041604,1448,0,359.0909091,569.9183195,2187.716163,9.569264616,109726.3,171920.3257,673627,2,1813390,201487.7778,260096.8119,768552,331,2099309,209930.9,218579.2993,673627,3,0,0,0,0,328,360,4.556792674,5.012471942,0,1448,218.2272727,424.317708,180045.5173,0,0,0,1,0,0,0,0,1,228.6190476,85.1,359.0909091,328,0,0,0,0,0,0,10,851,11,3950,29200,252,5,32,0,0,0,0,0,0,0,0
162.213.33.50-192.168.10.51-443-59449-6,192.168.10.51,59449,162.213.33.50,443,6,07-07-17 03:55,95008,1,1,0,0,0,0,0,0,0,0,0,0,0,21.05085888,95008,0,95008,95008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.52542944,10.52542944,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,304,252,0,32,0,0,0,0,0,0,0,0
162.213.33.50-192.168.10.51-443-59450-6,192.168.10.51,59450,162.213.33.50,443,6,07-07-17 03:55,635780,9,10,703,3950,267,0,78.11111111,103.3022803,1448,0,395,587.483144,7318.569316,29.88455126,35321.11111,45330.01041,101027,1,540320,67540,54965.49463,137886,370,540437,60048.55556,67903.48281,196027,192,0,0,0,0,296,328,14.15584007,15.72871119,0,1448,232.65,442.7331708,196012.6605,0,0,0,1,0,0,0,0,1,244.8947368,78.11111111,395,296,0,0,0,0,0,0,9,703,10,3950,29200,252,4,32,0,0,0,0,0,0,0,0
162.213.33.50-192.168.10.51-443-59450-6,192.168.10.51,59450,162.213.33.50,443,6,07-07-17 03:55,95035,2,1,0,0,0,0,0,0,0,0,0,0,0,31.5673173,47517.5,67132.0107,94987,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,64,32,21.0448782,10.5224391,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,304,252,0,32,0,0,0,0,0,0,0,0
192.168.10.12-199.187.193.19-59228-80-6,199.187.193.19,80,192.168.10.12,59228,6,07-07-17 03:55,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,0,666666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,5459,-1,0,32,0,0,0,0,0,0,0,0
192.168.10.15-31.13.80.36-58451-443-6,31.13.80.36,443,192.168.10.15,58451,6,07-07-17 03:55,239,3,1,83,6,46,6,27.66666667,20.20725942,6,6,6,0,372384.9372,16736.40167,79.66666667,101.6726774,195,3,239,119.5,164.75588,236,3,0,0,0,0,0,1,0,0,0,60,20,12552.30126,4184.100418,6,46,27,20.1246118,405,0,1,0,0,1,0,0,0,0,33.75,27.66666667,6,60,0,0,0,0,0,0,3,83,1,6,144,0,2,20,0,0,0,0,0,0,0,0
192.168.10.16-52.38.5.243-53760-443-6,52.38.5.243,443,192.168.10.16,53760,6,07-07-17 03:55,53,1,1,0,0,0,0,0,0,0,0,0,0,0,37735.84906,53,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,131,394,0,32,0,0,0,0,0,0,0,0
192.168.10.9-52.84.143.188-9444-80-6,52.84.143.188,80,192.168.10.9,9444,6,07-07-17 03:55,66,1,1,6,6,6,6,6,0,6,6,6,0,181818.1818,30303.0303,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15151.51515,15151.51515,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,119,252,0,20,0,0,0,0,0,0,0,0
192.168.10.9-52.84.143.188-9445-80-6,52.84.143.188,80,192.168.10.9,9445,6,07-07-17 03:55,55,1,1,6,6,6,6,6,0,6,6,6,0,218181.8182,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18181.81818,18181.81818,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,119,252,0,20,0,0,0,0,0,0,0,0
192.168.10.12-61.251.165.12-36970-80-6,61.251.165.12,80,192.168.10.12,36970,6,07-07-17 03:55,240,1,3,421,0,421,421,421,0,0,0,0,0,1754166.667,16666.66667,80,93.47192092,184,3,0,0,0,0,0,187,93.5,127.9863274,184,3,1,0,0,0,32,108,4166.666667,12500,0,421,168.4,230.5911967,53172.3,0,1,0,0,1,0,0,0,3,210.5,421,0,32,0,0,0,0,0,0,1,421,3,0,5036,30016,0,32,0,0,0,0,0,0,0,0
192.168.10.9-72.21.91.29-9467-80-6,72.21.91.29,80,192.168.10.9,9467,6,07-07-17 03:55,81,1,1,6,6,6,6,6,0,6,6,6,0,148148.1481,24691.35802,81,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12345.67901,12345.67901,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,290,256,0,20,0,0,0,0,0,0,0,0
192.168.10.9-104.24.112.60-9443-443-6,104.24.112.60,443,192.168.10.9,9443,6,07-07-17 03:56,233,2,0,12,0,6,6,6,0,0,0,0,0,51502.14592,8583.690987,233,0,233,233,233,233,0,233,233,0,0,0,0,0,0,0,0,0,40,0,8583.690987,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,31,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-104.244.43.48-58610-443-6,104.244.43.48,443,192.168.10.15,58610,6,07-07-17 03:56,1,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,37000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.9-104.25.216.101-9456-443-6,104.25.216.101,443,192.168.10.9,9456,6,07-07-17 03:56,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.9-104.28.24.242-9455-443-6,104.28.24.242,443,192.168.10.9,9455,6,07-07-17 03:56,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-104.87.80.164-58627-443-6,104.87.80.164,443,192.168.10.15,58627,6,07-07-17 03:56,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-104.97.71.5-58710-443-6,104.97.71.5,443,192.168.10.15,58710,6,07-07-17 03:56,203,2,1,37,6,31,6,18.5,17.67766953,6,6,6,0,211822.6601,14778.32512,101.5,129.400541,193,10,203,203,0,203,203,0,0,0,0,0,1,0,0,0,40,20,9852.216749,4926.108374,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6,40,0,0,0,0,0,0,2,37,1,6,980,0,1,20,0,0,0,0,0,0,0,0
192.168.10.15-104.97.71.5-58708-443-6,104.97.71.5,443,192.168.10.15,58708,6,07-07-17 03:56,49,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,877551.0204,61224.4898,24.5,33.23401872,48,1,49,24.5,33.23401872,48,1,0,0,0,0,0,0,0,0,0,60,0,61224.4898,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,980,-1,2,20,0,0,0,0,0,0,0,0
192.168.10.15-108.161.188.128-58645-443-6,108.161.188.128,443,192.168.10.15,58645,6,07-07-17 03:56,17262,2,0,12,0,6,6,6,0,0,0,0,0,695.1685784,115.8614297,17262,0,17262,17262,17262,17262,0,17262,17262,0,0,0,0,0,0,0,0,0,40,0,115.8614297,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-108.161.188.128-58646-443-6,108.161.188.128,443,192.168.10.15,58646,6,07-07-17 03:56,13464,2,0,12,0,6,6,6,0,0,0,0,0,891.2655971,148.5442662,13464,0,13464,13464,13464,13464,0,13464,13464,0,0,0,0,0,0,0,0,0,40,0,148.5442662,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-108.161.188.128-58641-443-6,108.161.188.128,443,192.168.10.15,58641,6,07-07-17 03:56,16874,2,0,12,0,6,6,6,0,0,0,0,0,711.1532535,118.5255423,16874,0,16874,16874,16874,16874,0,16874,16874,0,0,0,0,0,0,0,0,0,40,0,118.5255423,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-108.161.188.128-58644-443-6,108.161.188.128,443,192.168.10.15,58644,6,07-07-17 03:56,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.15-108.161.188.128-58643-443-6,108.161.188.128,443,192.168.10.15,58643,6,07-07-17 03:56,87,1,1,6,6,6,6,6,0,6,6,6,0,137931.0345,22988.50575,87,0,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11494.25287,11494.25287,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,30,255,0,20,0,0,0,0,0,0,0,0
149.202.208.196-192.168.10.15-443-58607-6,149.202.208.196,443,192.168.10.15,58607,6,07-07-17 03:56,1,2,0,59,0,53,6,29.5,33.23401872,0,0,0,0,59000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,6,53,37.33333333,27.13546265,736.3333333,0,1,0,0,1,0,0,0,0,56,29.5,0,40,0,0,0,0,0,0,2,59,0,0,1026,-1,1,20,0,0,0,0,0,0,0,0
149.202.208.196-192.168.10.15-443-58607-6,149.202.208.196,443,192.168.10.15,58607,6,07-07-17 03:56,15,1,1,6,6,6,6,6,0,6,6,6,0,800000,133333.3333,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,66666.66667,66666.66667,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1026,0,0,20,0,0,0,0,0,0,0,0
172.16.0.1-192.168.10.50-49650-80-6,172.16.0.1,49650,192.168.10.50,80,6,07-07-17 03:56,1293792,3,7,26,11607,20,0,8.666666667,10.26320288,5840,0,1658.142857,2137.29708,8991.398927,7.72921768,143754.6667,430865.8067,1292730,2,747,373.5,523.9661249,744,3,1293746,215624.3333,527671.9348,1292730,2,0,0,0,0,72,152,2.318765304,5.410452376,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0
172.16.0.1-192.168.10.50-49650-80-6,172.16.0.1,49650,192.168.10.50,80,6,07-07-17 03:56,4421382,4,0,24,0,6,6,6,0,0,0,0,0,5.42816703,0.904694505,1473794,2552042.631,4420639,340,4421382,1473794,2552042.631,4420639,340,0,0,0,0,0,0,0,0,0,80,0,0.904694505,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0
172.16.0.1-192.168.10.50-51684-80-6,172.16.0.1,51684,192.168.10.50,80,6,07-07-17 03:56,1083538,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10730.58813,8.306123089,135442.25,377725.315,1070206,41,12982,6491,8165.669109,12265,717,1083407,216681.4,477167.0977,1070206,41,0,0,0,0,72,132,2.768707696,5.537415393,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0
172.16.0.1-192.168.10.50-51684-80-6,172.16.0.1,51684,192.168.10.50,80,6,07-07-17 03:56,80034360,8,4,56,11601,20,0,7,5.656854249,8760,0,2900.25,4128.319301,145.6499433,0.149935603,7275850.909,21100000,70600000,6,78700000,11200000,26300000,70600000,247,1354806,451602,777575.2592,1349464,190,0,0,0,0,172,92,0.099957068,0.049978534,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,939,0,939,939,39300000,44200000,70600000,8072664
